formula,pred_bandgap,in_mp,mp_band_gap,e_above_hull,is_stable,n_polymorphs,known_struct
Li(CoS)2,1.209,False,,,,,全新候选
Li(CuS)2,1.208,False,,,,,全新候选
Li(FeO)2,1.045,False,,,,,全新候选
Li(FeS)2,1.164,False,,,,,全新候选
Li(MnS)2,1.11,False,,,,,全新候选
Li(NiS)2,1.153,True,0.0,0.037074402499998,False,2.0,已有结构
Li(TiS)2,1.518,False,,,,,全新候选
Li(VS)2,1.015,False,,,,,全新候选
Li2CoO2,1.303,True,2.545,0.026959160624998,False,3.0,已有结构
Li2CoPO4,1.783,False,,,,,全新候选
Li2CoS2,1.282,False,,,,,全新候选
Li2CrO2,1.596,True,1.121,0.028562055000000003,False,3.0,已有结构
Li2CrPO4,1.789,False,,,,,全新候选
Li2CrS2,1.957,False,,,,,全新候选
Li2CuO2,1.474,True,0.0,0.014433391249998002,False,3.0,已有结构
Li2CuPO4,1.483,True,1.182,0.0620736121875,False,3.0,已有结构
Li2CuS2,1.754,True,0.0,0.087217502666666,False,3.0,已有结构
Li2FeO2,1.249,True,1.897,0.0020245375,False,3.0,已有结构
Li2FePO4,1.706,False,,,,,全新候选
Li2FeS2,1.326,True,0.0,0.175430679000003,False,3.0,已有结构
Li2MnO2,1.609,True,2.426,0.027874728000002003,False,3.0,已有结构
Li2MnPO4,1.726,False,,,,,全新候选
Li2MnS2,2.016,False,,,,,全新候选
Li2NiO2,1.424,True,0.912,0.002541691000002,False,3.0,已有结构
Li2NiPO4,1.661,False,,,,,全新候选
Li2NiS2,1.556,False,,,,,全新候选
Li2TiO2,1.787,False,,,,,全新候选
Li2TiPO4,2.165,False,,,,,全新候选
Li2TiS2,2.109,False,,,,,全新候选
Li2VO2,1.57,True,1.915,0.10280860199999901,False,1.0,已有结构
