formula,p_metal,pred_bandgap,p_stable,gap_score,score,uncertainty
Li3(TiS)2,0.42,2.150196917099668,0.8808689334601185,0.9776934402066901,0.8612197779258213,0.7449589341613295
Li2VS2,0.3325,1.9379898388525016,0.8402088170575058,0.9961621234601078,0.8369841993499102,0.7449589341613295
Na3(TiS)2,0.425,2.1781772407446365,0.8496493242722079,0.9687515201590506,0.8230990744908115,0.7449589341613295
Li2TiS2,0.3425,2.3024035979717015,0.8380232764213956,0.9126088289207761,0.7647874409032817,0.7449589341613295
Li2MnS2,0.225,1.9197639766570143,0.7679131687027727,0.9935828589193724,0.7629853615615352,0.7449589341613295
Na2CuS2,0.1575,1.8353777059009537,0.7733457494320334,0.973263423912927,0.7526691319607293,0.7449589341613295
Li2CuS2,0.19,1.8409801865242361,0.7558346144012696,0.9750297446874695,0.736961231105622,0.7449589341613295
Na2MnS2,0.22,1.9714813133090288,0.7375293277417706,0.9991870151608185,0.7369297275798649,0.7449589341613295
Na2VS2,0.3775,1.9138089925453723,0.6974183158357052,0.9925986362308254,0.6922564691809201,0.7449589341613295
Na2TiS2,0.3575,2.3161516027189406,0.7596094968090168,0.9048809997637867,0.6873562009026101,0.7449589341613295
Na3(CuS)2,0.145,1.6456269612875338,0.7780444252008835,0.8819849817926344,0.6862234981946619,0.7449589341613295
Li3(VS)2,0.4325,1.5326865636740377,0.8420854340855188,0.80381844677562,0.6768838056789954,0.7449589341613295
Li3(CuS)2,0.205,1.7342726393506518,0.6824630582834851,0.9318242731487202,0.6359356432358612,0.7449589341613295
Li2CrS2,0.2975,1.8805051031983433,0.6385624184198464,0.9858224314926682,0.6295091559864916,0.7449589341613295
Na2MnO2,0.245,1.8078671255906997,0.6477882919154445,0.9637580113746175,0.624311156008189,0.7449589341613295
Li3(MnS)2,0.395,1.4120831940850251,0.8770000647730515,0.7077628700644443,0.6207080828904784,0.7449589341613295
Na3Ti2O2,0.3475,1.6421782114772105,0.6967585623272975,0.8798213246096492,0.6130230412399177,0.7449589341613295
Li3(CrS)2,0.4175,1.537592346262926,0.7554415582069425,0.807493043942901,0.6100138033574922,0.7449589341613295
Li3Ti2O2,0.4325,2.076308432603933,0.604114408419073,0.9941939437846182,0.6006068862032699,0.7449589341613295
